SKU,Product Name,Brand,Product ID,Suggested Supplier 1,Supplier 1 ID,Confidence 1,Reason 1,Suggested Supplier 2,Supplier 2 ID,Confidence 2,Reason 2
ADA-7857,"Adam Hall Connectors 7857 - Adapter RCA female to XLR M",,c8a9b057-6229-466c-98af-30162629aa86,,,,"",,,,""
ADP-DAI-AU-2X0,"Audinate Dante AVIO Analog Input Adapter 2 Ch",,d1ffd972-763b-455f-8d9d-65c03e968774,,,,"",,,,""
ADP-DAO-AU-0X1,"Audinate Dante AVIO Analog Output Adapter 1 Ch",,0f12a944-badb-45c0-ac4f-330e379d79a0,,,,"",,,,""
ADP-DAO-AU-0X2,"Audinate Dante AVIO Analog Output Adapter 2 Ch",,1c66044d-4ba2-4079-9e95-6f47f299a62c,,,,"",,,,""
ADP-DVS-TK-RES,"Audinate Dante Virtual Soundcard Software Token for Single Machine (Download) (Redeemable for Permanent DVS License)",,c7e06163-b185-4b0a-9109-64809a2b4619,,,,"",,,,""
ADP-DVS-VM-001,"Audinate DVS for Virtual Machines Dante Virtual Soundcard (Sold as Min 5 activation tokens) (Download)",,770da9eb-fd68-4c4d-b274-e51ff2b73298,,,,"",,,,""
ADP-USB-AU-2X2,"Audinate Dante AVIO USB IO Adapter 2X2 Ch",,cc94bf0e-66ad-4cdf-8457-2b56daa3f9ac,,,,"",,,,""
ADP-USBC-AU-2X2,"Audinate Dante AVIO USBC IO Adapter 2x2",,de9f5209-b329-4d87-b7da-91405a829517,,,,"",,,,""
ADP-VIA-TK-001,"Audinate Dante Via Audio Networking Software Token for Single Machine (Download)",,0ae8719f-9b56-46e7-a1e5-290675bc88be,,,,"",,,,""
AID-CBL-RJ45,"Aida Imaging 8-Pin RS232 to Cross RJ45 Cable Connector Cable",,a141aec9-45f8-49a5-8044-0d76e9a15e48,,,,"",,,,""
AID-CCS-USB,"Aida Imaging VISCA Camera Control Unit & Software",,b0ba039e-1384-47b2-9c90-b07249f5da35,,,,"",,,,""
AID-CCU-IP,"Aida Imaging VISCA Serial and IP PTZ Camera Controller",,4dfb06ea-bf59-4966-9943-b549f010786e,,,,"",,,,""
AID-CCU-MINI,"Aida Imaging Compact VISCA Serial and IP PTZ Camera Controller",,0980ff04-c329-439a-909b-b55617e38230,,,,"",,,,""
AID-CS-0550V,"Aida Imaging HD Varifocal 5.0-50mm Manual Iris CS Mount Lens",,9a467f12-4834-4f88-a33c-0e3ec0d31f1b,,,,"",,,,""
AID-CS-12.0F,"Aida Imaging 12mm HD CS Mount Lens",,fc1477f3-915b-41b5-aedb-48162932e909,,,,"",,,,""
AID-CS-2812V,"Aida Imaging HD Varifocal 2.8-12mm Manual Iris CS Mount Lens",,4820fb8a-6cbb-48d9-a1f2-d8cc75886cd3,,,,"",,,,""
AID-CS-6.0F,"Aida Imaging 6mm HD CS Mount Lens",,23a3d8b9-91c5-48a9-879d-1a6853c9dfb9,,,,"",,,,""
AID-CS-8.0F,"Aida Imaging 8mm 5Mega Pixel CS Mount Lens",,72d9c9e6-262d-4b4e-b8a7-c1ff83024259,,,,"",,,,""
AID-CS4K-3611V,"Aida Imaging 4K Varifocal 3.6~11mm Auto-DC Iris CS Mount Lens",,94e023ae-c1e8-40b2-a416-9f155b640292,,,,"",,,,""
AID-CS4K-5.0F,"Aida Imaging 4K 5mm HFOV 66 Manual Focus CS Mount Lens",,71549f2d-5075-4b38-8dee-eafd375c9404,,,,"",,,,""
AID-GCON-HDMI,"Aida Imaging HDMI Genlock converter w/ Active Loop Out",,93025621-fd28-4fcc-a318-9b446e193142,,,,"",,,,""
AID-GCON-SDI,"Aida Imaging SDI Genlock converter w/ Active Loop Out",,f89f3488-9040-45b6-b2ea-87925ae42252,,,,"",,,,""
AID-GEN3G-IPC-200,"Aida Imaging FHD Genlock 3G-SDI/HDMI with IP Control POV Camera",,bd385ab7-bd2b-4494-ad9a-14f36f74cc77,,,,"",,,,""
AID-HD-100A,"Aida Imaging FHD HDMI POV Camera (Multi HD Format) with TRS Sterio Audio Input",,81f1ac59-8948-4a33-9cd5-cf2072d78dbd,,,,"",,,,""
AID-HD-100A-IP67,"Aida Imaging FHD HDMI POV Weatherproof Camera with TRS Sterio Audio Input",,8bcef3d5-2b02-4435-9cb8-df899b95091e,,,,"",,,,""
AID-HD-NDI-200,"Aida Imaging FHD NDI|HX/HDMI/IP PoE POV Camera",,a66a0f6f-5217-4017-bd14-c36099a1df5f,,,,"",,,,""
AID-HD-NDI-CUBE,"Aida Imaging FHD NDI|HX/IP POV Camera",,dc183492-20d9-4df5-b0d7-f8ef9c085648,,,,"",,,,""
AID-HD-NDI-IP67,"Aida Imaging FHD NDI|HX/IP Weatherproof POV Camera",,36266fa4-d549-45ee-b2a6-1df197e2a046,,,,"",,,,""
AID-HD-NDI-MINI,"Aida Imaging FHD NDI|HX/IP Weatherproof Cylinder POV Camera",,694d68fa-d17b-4a68-95a7-1874a5fe1a90,,,,"",,,,""
AID-HD-NDI-TF,"Aida Imaging FHD NDI|HX/SRT/IP PoE Weatherproof IP54 POV Camera with 05-50mm Varifocal Lens",,5a126ff1-b0e1-45c8-8f30-06200dbb413a,,,,"",,,,""
AID-HD-NDI-VF,"Aida Imaging FHD NDI |HX/IP/SRT PoE Weatherproof Vaifocal Lens 2.8-12mm POV Camera",,4b567576-2024-4800-a6c8-033198aca37b,,,,"",,,,""
AID-HD-NDI-X20,"Aida Imaging FHD NDI|HX/IP/SRT/HDMI PoE 20X Zoom POV Camera",,845751f3-1289-4ee3-91ca-72742ff44721,,,,"",,,,""
AID-HD-NDI3-120,"Aida Imaging FHD 120fps NDI |HX3/IP/SRT/HDMI PoE POV Camera",,872b6350-2bcd-4ea4-b4a4-6fa875a02c8c,,,,"",,,,""
AID-HD-NDI3-IP67,"Aida Imaging FHD 120fps NDI |HX3/IP/SRT PoE Weatherproof POV Camera",,35627b46-1beb-4253-8107-3643a6ce797d,,,,"",,,,""
AID-HD-X3L-IP67,"Aida Imaging FHD Weatherproof 3G-SDI 3.5X Optical Zoom POV Camera",,a4b3c2ac-296a-4d0e-bb1a-1f6a11877eb3,,,,"",,,,""
AID-HD3G-IPC-100A,"Aida Imaging FHD 3G-SDI with IP Control POV Camera",,afa57400-3432-481d-8280-535d85c3b9db,,,,"",,,,""
AID-HD3G-IPC-IP67,"Aida Imaging FHD 3G-SDI with IP Control Weatherproof IP67 POV Camera",,2e4a2176-2896-47a3-b026-041e427670ac,,,,"",,,,""
AID-HD3G-IPC-MINI,"Aida Imaging FHD 3G-SDI with IP Control, Lipstick Weatherproof IP67 POV Camera",,b5653e52-c16c-4a6b-8639-1990ae781af7,,,,"",,,,""
AID-HD3G-IPC-TF,"Aida Imaging FHD 3G-SDI with IP Control, Varifocal Lens 05-50mm Weatherproof IP54 POV Camera",,e125a760-8fe8-4ab1-872c-858a89a002ad,,,,"",,,,""
AID-HD3G-NDI-200,"Aida Imaging FHD NDI|HX/IP/SRT/3G-SDI PoE and IP Control POV Camera",,aec1fe8f-1b2e-4b20-bf82-5a4312d49ee8,,,,"",,,,""
AID-IPCOMM-POE,"Aida Imaging Portable Wireless Video & Control Transmitter with PoE+ Injection / NPF Battery Support (NPF Battery not included)",,ea0d991e-e076-4f73-a82b-022f869d4c10,,,,"",,,,""
AID-M12-6.0F,"Aida Imaging 6.0mm HD Megapixel M12 Mount Lens for AIDA HD-NDI-MINI",,43755816-7c8c-403a-bd71-5db586667560,,,,"",,,,""
AID-PTZ-NDI-X12,"Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/SDI/HDMI/USB3 PTZ Camera 12X Zoom",,44a39019-70de-42ff-8d27-fc2d38c48c4b,,,,"",,,,""
AID-PTZ-NDI-X18B,"Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/HDMI PTZ Camera 18X Zoom Black",,09a22142-fb7c-4f97-b270-5499fce6deb7,,,,"",,,,""
AID-PTZ-NDI-X18W,"Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/HDMI PTZ Camera 18X Zoom White",,89533069-8fac-418c-a9e1-f0577f29495f,,,,"",,,,""
AID-PTZ-NDI-X20,"Aida Imaging Broadcast/Conference NDI|HX FHD NDI/IP/SDI/HDMI/USB3 PTZ Camera 20X Zoom",,2c6d1b21-3d92-437f-900e-a72ab3824f4d,,,,"",,,,""
AID-PTZ-NDI3-X20B,"Aida Imaging Broadcast/Conference NDI |HX3 120fps FHD NDI/IP/SRT/HDMI PoE PTZ Camera 20X Zoom Black",,561f4fc1-d79b-4b78-bbe0-d0e5ca3b7eb5,,,,"",,,,""
AID-PTZ-NDI3-X20W,"Aida Imaging Broadcast/Conference NDI |HX3 120fps FHD NDI/IP/SRT/HDMI PoE PTZ Camera 20X Zoom White",,f9437624-fa66-4d05-9068-d49c0881a4e0,,,,"",,,,""
AID-PTZ-X12-IP,"Aida Imaging Broadcast/Conference FHD IP/SDI/HDMI/USB3 PTZ Camera 12X Zoom",,7ff1a742-6df5-47d3-b357-ae5d354e82de,,,,"",,,,""
AID-PTZ-X20-IP,"Aida Imaging Broadcast/Conference FHD IP/SDI/HDMI/USB3 PTZ Camera 20X Zoom",,2106001b-60a9-4ec7-8e00-8d19cb8ae42c,,,,"",,,,""
AID-PTZ4K-NDI-X12B,"Aida Imaging Broadcast/Conference NDI |HX 4K NDI/IP/SRT/HDMI PoE PTZ Camera 12X Zoom Black",,d4e9c91c-5e1a-4dfc-bc19-e358f84c5d70,,,,"",,,,""
AID-PTZ4K-NDI-X12W,"Aida Imaging Broadcast/Conference NDI |HX 4K NDI/IP/SRT/HDMI PoE PTZ Camera 12X Zoom White",,fd68a4fd-ac91-4d43-be4a-fed5fbb73e6c,,,,"",,,,""
AID-PTZ4K-NDI-X30B,"Aida Imaging Broadcast/Conference NDI|HX 4K NDI/IP/HDMI PTZ Camera 30X Zoom Black",,ee894d30-5c59-479c-8f49-e44775218651,,,,"",,,,""
AID-PTZ4K-NDI-X30W,"Aida Imaging Broadcast/Conference NDI|HX 4K NDI/IP/HDMI PTZ Camera 30X Zoom White",,30b80a42-4650-49d8-bc47-8d44f755e6f2,,,,"",,,,""
AID-PTZ4K12G-FNDI-X30B,"Aida Imaging Broadcast/Conference 4K Full Bandwidth NDI 12G & 3G-SDI/HDMI/USB/SRT/IP/NDI HX/HX3, Auto-tracking, FreeD, Genlock, SFP+, XLR, SD recording, 30X Zoom PTZ Camera in Black",,f87ca333-b930-42d6-bb2e-2efbef43d1d9,,,,"",,,,""
AID-PTZ4K12G-FNDI-X30W,"Aida Imaging Broadcast/Conference 4K Full Bandwidth NDI 12G & 3G-SDI/HDMI/USB/SRT/IP/NDI HX/HX3, Auto-tracking, FreeD, Genlock, SFP+, XLR, SD recording, 30X Zoom PTZ Camera in White",,e8510464-a314-4fc8-8ea7-14472074c66a,,,,"",,,,""
AID-TGEN-6P,"Aida Imaging 3G-SDI/HD-SDI Tri-Level Genlock Sync Generator",,1ae8010d-92ea-4437-a048-450c38834caf,,,,"",,,,""
AID-UHD-100A,"Aida Imaging UHD 4K/30 HDMI 1.4 POV Camera with TRS Sterio Audio Input",,3628b082-0146-4e0e-8ed3-059639d6e1cf,,,,"",,,,""
AID-UHD-NDI3-300,"Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT/HDMI PoE POV Camera",,47d1a12b-f47b-4184-baf6-f820a1c72a2e,,,,"",,,,""
AID-UHD-NDI3-IP67,"Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT PoE Weatherproof POV Camera",,ed4de6f3-cd3e-42d1-8053-c6faae39bbd4,,,,"",,,,""
AID-UHD-NDI3-X30,"Aida Imaging UHD 4K/60 NDI |HX3/IP/SRT/HDMI PoE 30X Zoom POV Camera",,e154901a-15af-46c8-8596-f374fe27896a,,,,"",,,,""
AID-UHD-X3L,"Aida Imaging UHD 4K/30 HDMI 1.4 3X Zoom POV Camera",,364a64f4-1cc8-48c1-9861-4b9797f6eab8,,,,"",,,,""
AID-UHD6G-200,"Aida Imaging UHD 4K/30 6G-SDI POV Camera",,e8962b70-c1b2-4abf-8ed0-a0bc6fe28900,,,,"",,,,""
AID-WM-PTZ,"Aida Imaging PTZ Universal Wall Mount Bracket",,65f074dd-b440-4793-9486-b9205fef5512,,,,"",,,,""
AID-WM-PTZ-W,"Aida Imaging PTZ Universal Wall Mount Bracket White",,6ab5c1ba-2396-4b57-a980-68c455475a5c,,,,"",,,,""
AMP-026-4026-100,"Amphenol Standard JAWS AC series (XLR) Cable O.D 6.5mm to 8mm",,723cd357-cfc9-4933-8d87-b8369ac531c0,,,,"",,,,""
AMP-026-4027-000,"Amphenol Large JAWS AC series (XLR) Cable O.D 3mm to 6.5mm",,8f07f89c-d052-409b-bb8a-06d194c6debb,,,,"",,,,""
AMP-50260002-521,"Amphenol T Series JAWS Large Cable O.D 6mm to 7.5mm",,5c4a1438-5a68-47e6-9603-2e45de1c09d6,,,,"",,,,""
AMP-50260003-521,"Amphenol T Series JAWS Standard Cable O.D 3mm to 6mm",,0c3dc043-4a15-4b7b-a5b6-50c0ac7f99c0,,,,"",,,,""
AMP-AC-BNC-JJ-75,"Amphenol Bulkhead Adapter-Isolated, 'D' Shell Housing, BNC",,95d7e06f-5fd4-4e2e-8c4e-61110976aa29,,,,"",,,,""
AMP-AC-GROMMET-BRN,"Amphenol Brown Coloured Grommet to suit AC, T and M series",,e3522324-a50c-4455-ad26-175bcd20d984,,,,"",,,,""
AMP-AC-GROMMET-GRN,"Amphenol Green Coloured Grommet to suit AC, T and M series",,5614f723-4b0f-472e-9361-ac3e6cf7af39,,,,"",,,,""
AMP-AC-GROMMET-GRY,"Amphenol Grey Coloured Grommet to suit AC, T and M series",,39c20ea1-6dff-420f-8a77-ee67bb8395fa,,,,"",,,,""
AMP-AC-GROMMET-ORG,"Amphenol Orange Coloured Grommet to suit AC, T and M series",,02f7b491-4951-407c-8a4a-282df1c7a865,,,,"",,,,""
AMP-AC-GROMMET-RED,"Amphenol Red Coloured Grommet to suit AC, T and M series",,428a720f-93a4-418b-b15c-9ae5aabe8a74,,,,"",,,,""
AMP-AC-GROMMET-VIO,"Amphenol Violet Coloured Grommet to suit AC, T and M series",,817519fd-1b8e-4e70-960f-4b388e64d8ad,,,,"",,,,""
AMP-AC-GROMMET-WHT,"Amphenol White Coloured Grommet to suit AC, T and M series",,3ccb23cf-619f-4bcf-b5d6-6e529dba4ad8,,,,"",,,,""
AMP-AC-GROMMET-YEL,"Amphenol Yellow Coloured Grommet to suit AC, T and M series",,9d8f10e1-b014-4f8a-aca4-fff429164bfd,,,,"",,,,""
AMP-AC-HDMI-RR,"Amphenol HDMI-HDMI Feedthrough D Type panel mount (Nickel)",,c9c69f5d-7554-4cb4-b03e-ef3377891454,,,,"",,,,""
AMP-AC-HDMI-RRB,"Amphenol HDMI-HDMI Feedthrough D Type panel mount (Black)",,4ec8fe5c-98e5-4a24-9a5b-c0b9ad89c67c,,,,"",,,,""
AMP-AC-NUT-BLU,"Amphenol Blue Coloured Boot/Backshell",,b408a31f-8583-4fd9-9857-3d53f384b466,,,,"",,,,""
AMP-AC-NUT-BRN,"Amphenol Brown Coloured Boot/Backshell",,84ec2ce3-8dad-44e9-8e7e-22b2f9663a2f,,,,"",,,,""
AMP-AC-NUT-GRN,"Amphenol Green Coloured Boot/Backshell",,57d39dc1-902d-43c1-9e57-1c19bc56d871,,,,"",,,,""
AMP-AC-NUT-GRY,"Amphenol Grey Coloured Boot/Backshell",,171cdbdc-4703-44c6-9eb2-24e0d8f018aa,,,,"",,,,""
AMP-AC-NUT-J-BLK,"Amphenol Black Coloured 8.5mm GROMMET 100/BOX",,9c3a02c5-a16e-4364-9694-7062cb591d91,,,,"",,,,""
AMP-AC-NUT-METAL,"Amphenol Metal Backshell",,95d97f42-3be7-4b97-9465-b4d29c7fef70,,,,"",,,,""
AMP-AC-NUT-ORG,"Amphenol Orange Coloured Boot/Backshell",,d2810380-6a60-43a4-8664-93704c60986c,,,,"",,,,""
AMP-AC-NUT-RED,"Amphenol Red Coloured Boot/Backshell",,d3d5f65c-77f1-41cc-bdfc-ef752d73f105,,,,"",,,,""
AMP-AC-NUT-VIO,"Amphenol Violet Coloured Boot/Backshell",,c794c3a9-3b06-438e-80cb-f770ef3f32e7,,,,"",,,,""
AMP-AC-NUT-WHT,"Amphenol White Coloured Boot/Backshell",,a1b02525-3d31-4f03-9083-7c1fbc9b11d2,,,,"",,,,""
AMP-AC-NUT-YEL,"Amphenol Yellow Coloured Boot/Backshell",,95eb01f2-766c-4587-83a8-bbe118fd66d1,,,,"",,,,""
AMP-AC-RING-REDPK1,"Amphenol Numbered Identification Ring Pack - Red 1-24",,93871d23-3a6a-4844-8078-576885e648b7,,,,"",,,,""
AMP-AC3F,"Amphenol Female XL 3 Inline, Stamped contacts, Nickel finish",,c4740512-2730-42b5-8a28-fa0b3ce0b79d,,,,"",,,,""
AMP-AC3F-BULK,"Amphenol METAL PLUG STR CORD 3 SKT",,fd367c12-fec5-4f53-9df6-d862b233950c,,,,"",,,,""
AMP-AC3F3FBW,"Amphenol METAL FEMALE TO FEMALE 3 POLE",,76c69947-18d6-4810-9b30-754bbc50b5d5,,,,"",,,,""
AMP-AC3F3FW,"Amphenol Female to Female Adaptor",,a456a041-3971-49aa-ac8c-a6deaf47b445,,,,"",,,,""
AMP-AC3F5MW,"Amphenol XLR 3pin female to 5pin male adapter, Pre-wired, Metal",,5e9e1b5b-693e-49a5-93ea-7613a7af04c4,,,,"",,,,""
AMP-AC3FB,"Amphenol Female XLR 3 Inline, Stamped contacts, Black finish",,050e286e-b04e-449b-9ed5-f78a88fe865a,,,,"",,,,""
AMP-AC3FDZ,"Amphenol Female XLR 3 Chassis, Stamped, Nickle Finish (Pro)",,3b9315f1-57d4-4784-b5d0-460ea2264f65,,,,"",,,,""
AMP-AC3FDZB,"Amphenol Female XLR 3 Chassis, Stamped, Black Finish (Pro)",,6f6662b7-b63b-4a40-bc91-03202fbe3b07,,,,"",,,,""
AMP-AC3M3MW,"Amphenol Male to Male Adaptor",,e3e323a3-543f-4274-82fa-7bbc64d8dab6,,,,"",,,,""
AMP-AC3M5FW,"Amphenol XLR 3pin male to 5pin female adapter, Pre-wired, Metal",,499aaf9d-fc7f-4fa4-93e6-236f63ad4a41,,,,"",,,,""
AMP-AC3MB,"Amphenol Male XLR 3 Inline, stamped contacts, black finish",,1ab8df67-b813-47ad-870f-8380d0812939,,,,"",,,,""
AMP-AC3MM,"Amphenol Male XLR 3 Inline, Machined contacts, Nickel finish",,49a2a64f-ae6f-4ef8-a429-01150e497594,,,,"",,,,""
AMP-AC3MMB,"Amphenol Male XLR 3 Inline, Machined contacts, Black finish",,a9dfe438-fb2f-4b69-82d7-6636bf9eba5e,,,,"",,,,""
AMP-AC3MMDZ,"Amphenol Male XLR 3 Chassis, Machined contacts, Nickle (Pro)",,aee437b8-6b50-4b76-82d2-bcc0fb834ab6,,,,"",,,,""
AMP-AC3MMDZB,"Amphenol Male XLR 3 Chassis, Machined contacts, Black (Pro)",,0bf63746-9940-45c7-b5af-6d832808bc48,,,,"",,,,""
AMP-AC4F,"Amphenol Female XLR 4 Inline, Machined contacts, Nickel finish",,506a5f8c-3d5e-48ca-a271-81fbcb7a8eb5,,,,"",,,,""
AMP-AC4FDZ,"Amphenol Female XLR 4 Chassis, Machined contacts, Nickel",,b8db8645-4c3c-4622-a431-637ee36d6769,,,,"",,,,""
AMP-AC4M,"Amphenol Male XLR 4 Inline, Machined contacts, Nickel finish",,eee390d9-a995-4829-b334-571584e982ba,,,,"",,,,""
AMP-AC4MDZ,"Amphenol Male XLR 4 Chassis, Machined contacts, Nickel finish",,1a0aabde-07da-4e00-95eb-4d85b93d8938,,,,"",,,,""
AMP-AC5F,"Amphenol Female XLR 5 Inline, Machined contacts, Nickel finish",,3149c9fe-1685-4bad-99d9-60a3e97cb803,,,,"",,,,""
AMP-AC5FB,"Amphenol Female XLR 5 Inline, Machined contacts, Black finish",,02ae25b7-db43-4bd9-9be4-e2d3c023daef,,,,"",,,,""
AMP-AC5FDZ,"Amphenol Female XLR 5 Chassis, Machined contacts, Nickel",,9dc7b4ae-e7a5-49cd-96d3-c82542666e0a,,,,"",,,,""
AMP-AC5M,"Amphenol Male XLR 5 Inline, Machined contacts, Nickel finish",,78f73fdb-1fa1-4bbb-aae9-494a3fcf0860,,,,"",,,,""
AMP-AC5MB,"Amphenol Male XLR 5 Inline, Machined contacts, Black finish",,924d5702-a080-4233-bf99-73f1dbfa90f3,,,,"",,,,""
AMP-AC5MDZ,"Amphenol Male XLR 5 Chassis, Machined contacts, Nickel finish",,b824b51f-86e0-4741-99b4-217c4f6a95a0,,,,"",,,,""
AMP-AC7F,"Amphenol 7 pin XLR female inline",,929cd349-ef60-4ef3-b48f-2d7a39fa4cf9,,,,"",,,,""
AMP-AC7M,"Amphenol 7 pin XLR Male inline",,67a92edb-de85-4b43-96f3-b62082e69679,,,,"",,,,""
AMP-ACJD-BLK,"Amphenol RCA, chassis mount, gold plated contacts,black insulator",,fb09d8a3-26ac-44d3-8748-eee187627bd5,,,,"",,,,""
AMP-ACJD-RED,"Amphenol RCA, chassis mount, gold plated contacts,red insulator",,5f977df4-53a4-41ac-b797-f22be75b0d60,,,,"",,,,""
AMP-ACJD-WHT,"Amphenol RCA, chassis mount, gold plated contacts,white insulator",,76daac14-b285-48e4-9eb4-33ac006655bb,,,,"",,,,""
AMP-ACJD-YEL,"Amphenol RCA, chassis mount, gold plated contacts,yellow insulator",,b55776b5-dbcf-4db1-a533-14e80c192815,,,,"",,,,""
AMP-ACJM-MC,"Amphenol Mono Jack Chassis Female Metal Nut",,541012cd-7f46-4da2-ac7f-a022a9298eb2,,,,"",,,,""
AMP-ACJR-BLK,"Amphenol RCA female, inline, gold plated contacts, black",,0915c7cf-a6bf-41db-8654-33cb9c078ef4,,,,"",,,,""
AMP-ACJR-RED,"Amphenol RCA female, inline, gold plated contacts, red",,70413a8d-755b-48ce-b09d-915e78f8c150,,,,"",,,,""
AMP-ACJR-WHT,"Amphenol RCA female, inline, gold plated contacts, white",,cec4b654-c235-47ac-ac20-1478f273cc72,,,,"",,,,""
AMP-ACJR-YEL,"Amphenol RCA female, inline, gold plated contacts, yellow",,59167f1f-3c9f-4488-af30-d009624c441e,,,,"",,,,""
AMP-ACJS-MC,"Amphenol Stereo Jack Chassis Metal Nut",,a4626b97-98bc-46c7-8bc4-a5a6df4806a0,,,,"",,,,""
AMP-ACJS-MH,"Amphenol Stereo Jack Chassis Metal Nut PCB",,c25531ce-bd90-41ba-84ed-0b8e6d12e454,,,,"",,,,""
AMP-ACJS-PC,"Amphenol Stereo Jack Chassis Plastic Nut",,89b5350c-e911-43f6-aa23-48c12ff2ff28,,,,"",,,,""
AMP-ACJS-PH,"Amphenol Stereo Jack Chassis Plastic Nut PCB",,5e335d87-57de-42fc-8eb0-5f764624d3b1,,,,"",,,,""
AMP-ACPM-GB,"Amphenol Mono Jack Plug Diecast Shell Blck",,b0a71f91-6de7-4140-810b-0b3842404318,,,,"",,,,""
AMP-ACPM-GN,"Amphenol Mono Jack Plug Diecast Shell Sil",,ce81d789-bfa9-4c5a-acd7-a9619b7859b3,,,,"",,,,""
AMP-ACPM-KN,"Amphenol M-SERIES II Mono Jack Plug Diecast Shell Sil",,b7acc0b9-254d-470c-8d1f-b820f21afcf1,,,,"",,,,""
AMP-ACPM-RB,"Amphenol Mono Jack Plug Diecast Shell Nickel 90deg angle",,d9a47536-7907-4e61-b19c-56097aad6b39,,,,"",,,,""
AMP-ACPM-RN,"Amphenol Mono Jack Plug Diecast Shell Black 90deg angle",,deca91c5-097f-4366-ba45-6cbe646002da,,,,"",,,,""
AMP-ACPR-BLK,"Amphenol RCA male, inline, gold plated contact, black",,ba7cfab8-2b82-47f1-ae95-293926fa90cd,,,,"",,,,""
AMP-ACPR-RED,"Amphenol RCA male, inline, gold plated contact, red",,f45d24d5-ca2f-4ccc-85e0-887b4a138d75,,,,"",,,,""
AMP-ACPR-WHT,"Amphenol RCA male, inline, gold plated contact, white",,af631517-c0f7-4810-acc9-2906ff438f0b,,,,"",,,,""
AMP-ACPR-YEL,"Amphenol RCA male, inline, gold plated contact, yellow",,cccf4189-af90-4312-8805-5d6e57db04a5,,,,"",,,,""
AMP-ACPS-GB,"Amphenol Stereo Jack Plug Diecast Shell Blck",,6b1cab10-4105-4fcf-b94f-3cc539f336a4,,,,"",,,,""
AMP-ACPS-GN,"Amphenol Stereo Jack Plug Diecast Shell Sil",,0684c349-29e9-4bf4-ab0c-e6257fd0ed7f,,,,"",,,,""
AMP-ACPS-KN,"Amphenol M-SERIES II Stereo Jack Plug Diecast Shell Sil",,d44f7733-7e4c-4fe8-b21b-ac5ba5b5ada6,,,,"",,,,""
